match_id,season,date,home_team,away_team,result,home_odds,tie_odds,away_odds,avg_pts_home,avg_pts_away,avg_wins_home,avg_wins_away,avg_ties_home,avg_ties_away,avg_losses_home,avg_losses_away,avg_goals_for_home,avg_goals_for_away,avg_goals_ag_home,avg_goals_ag_away,avg_pts_home_at_home,avg_pts_away_at_away,avg_wins_home_at_home,avg_wins_away_at_away,avg_ties_home_at_home,avg_ties_away_at_away,avg_losses_home_at_home,avg_losses_away_at_away,avg_goals_for_home_at_home,avg_goals_for_away_at_away,avg_goals_ag_home_at_home,avg_goals_ag_away_at_away,mom_pts_home,mom_pts_away,mom_wins_home,mom_wins_away,mom_ties_home,mom_ties_away,mom_losses_home,mom_losses_away,mom_goals_for_home,mom_goals_for_away,mom_goals_ag_home,mom_goals_ag_away,mom_pts_home_at_home,mom_pts_away_at_away,mom_wins_home_at_home,mom_wins_away_at_away,mom_ties_home_at_home,mom_ties_away_at_away,mom_losses_home_at_home,mom_losses_away_at_away,mom_goals_for_home_at_home,mom_goals_for_away_at_away,mom_goals_ag_home_at_home,mom_goals_ag_away_at_away
2000099,2000/2001,23/10/2000,Southampton,Man City,2,1.97,3.16,3.25,1.111111111,1.222222222,0.222222222,0.333333333,0.444444444,0.222222222,0.333333333,0.444444444,1.333333333,1.333333333,1.444444444,1.555555556,1,1,0.25,0.25,0.25,0.25,0.5,0.5,1.75,1,2,2,7,5,2,1,1,2,2,2,5,5,5,5,3,1,1,0,0,1,1,1,3,2,3,3
2000100,2000/2001,28/10/2000,Arsenal,Man City,1,1.288,4.316,8.3,2.1,1.4,0.6,0.4,0.3,0.2,0.1,0.4,1.7,1.4,1,1.4,3,1.4,1,0.4,0,0.2,0,0.4,2.2,1.2,0.8,1.6,13,8,4,2,1,2,0,1,7,5,3,2,6,4,2,1,0,1,0,0,2,2,0,0
2000101,2000/2001,28/10/2000,Aston Villa,Charlton,1,1.626,3.48,4.48,1.444444444,1.5,0.333333333,0.4,0.444444444,0.3,0.222222222,0.3,1.222222222,1.6,0.888888889,1.6,2,0.8,0.5,0.2,0.5,0.2,0,0.6,1.75,1.4,0.5,2.6,8,10,2,3,2,1,1,1,7,6,3,5,4,3,1,1,1,0,0,1,4,2,1,3
2000102,2000/2001,28/10/2000,Chelsea,Tottenham,1,1.604,3.29,4.8,1.3,1.4,0.3,0.4,0.4,0.2,0.3,0.4,1.9,1.5,1.4,1.4,2,0.2,0.6,0,0.2,0.2,0.2,0.8,3,1,1.4,2,7,4,2,1,1,1,2,3,12,7,7,8,6,0,2,0,0,0,0,2,9,4,1,6
2000103,2000/2001,28/10/2000,Ipswich,Middlesbrough,1,2.05,3.14,3.14,1.5,1,0.4,0.2,0.3,0.4,0.3,0.4,1.4,1.5,1.1,1.6,1.2,1.6,0.2,0.4,0.6,0.4,0.2,0.2,1,2,1,1.4,11,5,3,1,2,2,0,2,9,6,3,7,2,3,0,1,2,0,0,1,2,3,2,2
2000104,2000/2001,28/10/2000,Leicester,Derby,1,1.592,3.26,5.12,1.6,0.5,0.4,0,0.4,0.5,0.2,0.5,0.7,1.5,0.6,2.6,1.6,0.2,0.4,0,0.4,0.2,0.2,0.8,0.8,1.4,1,2.8,5,1,1,0,2,1,2,4,3,4,5,14,1,0,0,0,1,0,1,2,1,2,4,7
2000105,2000/2001,28/10/2000,Man United,Southampton,1,1.214,4.86,10.2,2.1,1,0.6,0.2,0.3,0.4,0.1,0.4,2.6,1.2,0.8,1.5,2.6,1.2,0.8,0.2,0.2,0.6,0,0.2,3.4,1,0.6,1,10,7,3,2,1,1,1,2,12,5,5,6,4,4,1,1,1,1,0,0,6,2,3,1
2000106,2000/2001,28/10/2000,Sunderland,Coventry,1,1.636,3.31,4.64,1.3,1.1,0.3,0.3,0.4,0.2,0.3,0.5,0.8,1.1,1.1,2.1,2.2,1.4,0.6,0.4,0.4,0.2,0,0.4,1,1.6,0.4,2.4,9,4,2,1,3,1,0,3,4,6,2,14,4,1,1,0,1,1,0,1,1,3,0,8
2000107,2000/2001,28/10/2000,West Ham,Newcastle,1,2.33,3.12,2.654,0.8,1.6,0.1,0.5,0.5,0.1,0.4,0.4,1.2,1.1,1.4,0.9,0.6,1.8,0,0.6,0.6,0,0.4,0.4,1,1.2,1.4,1,6,6,1,2,3,0,1,3,7,4,5,5,1,6,0,2,1,0,1,0,2,4,3,1
2000108,2000/2001,29/10/2000,Bradford,Leeds,X,3.35,3.22,1.93,0.6,1.555555556,0.1,0.444444444,0.3,0.222222222,0.6,0.333333333,0.4,1.555555556,1.6,1.444444444,1,1.25,0.2,0.25,0.4,0.5,0.4,0.25,0.6,0.75,0.8,1.25,1,7,0,2,1,1,4,2,1,9,8,10,0,1,0,0,0,1,2,1,0,1,3,4
